Pais,Titulo_ES,Titulo_EN,tipos
Belice,Habilidades para acceder a la economía verde,Skills to Access the Green Economy,tipo1|tipo2|tipo3
Bolivia,Plataforma virtual de capacitación laboral agropecuaria,,tipo2|tipo4|tipo5
Brasil,TVET modular en las industrias digitales de São Paulo,Modular TVET in São Paulo’s digital industries,tipo1|tipo2
Chile,Relink: reconversión laboral inteligente,,tipo1|tipo2|tipo5
Colombia,Más y mejores empleos para madres adolescentes y vulnerables,,tipo2
Colombia,Palmipilos: mejores perspectivas laborales y educativas para los jóvenes,,tipo2
Costa Rica,Certificaciones para la industria 4.0 en la pospandemia,,tipo1|tipo3
Costa Rica,Apoyo a la transformación de la formación profesional,,tipo1|tipo3
El Salvador,Habilidades de e-lancing para el trabajo digital en la economía digital,,tipo2|tipo3
Guatemala,Mejores formadores en escenarios virtuales,,tipo1|tipo2|tipo3
México,Formación profesional técnica para la cuarta revolución industrial,,tipo2|tipo5
Paraguay,Capacitación en procesos de automatización,,tipo3|tipo5
